d|0|10101*0.2,10102*0.2,10103*0.2,10104*0.2,10105*0.2
s|10|10810*0.2,10811*0.2,10812*0.2,10813*0.2,10814*0.2
s|30|10810*0.2,10811*0.2,10812*0.2,10813*0.2,10814*0.2
s|50|10810*0.2,10811*0.2,10812*0.2,10813*0.2,10814*0.2
s|70|10810*0.2,10811*0.2,10812*0.2,10813*0.2,10814*0.2
s|90|10810*0.2,10811*0.2,10812*0.2,10813*0.2,10814*0.2
s|110|10810*0.2,10811*0.2,10812*0.2,10813*0.2,10814*0.2
s|130|10810*0.2,10811*0.2,10812*0.2,10813*0.2,10814*0.2
s|150|10810*0.2,10811*0.2,10812*0.2,10813*0.2,10814*0.2
s|170|10810*0.2,10811*0.2,10812*0.2,10813*0.2,10814*0.2
s|190|10810*0.2,10811*0.2,10812*0.2,10813*0.2,10814*0.2
s|210|10810*0.2,10811*0.2,10812*0.2,10813*0.2,10814*0.2
